Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C3, C5",0805,4,22uF,C398815
"C10, C11, C12, C13, C14, C2, C23, C24, C4",1206,9,330nF,C710477
"C15, C16, C6, C8, C9",0603,5,0.1uF,C14663
C7,0603,1,330pF,C1664
"D1, D10, D11, D12, D13, D8, D9",D_SMA,7,RS1J,C434030
"D14, D2, D3, D4, D5, D6, D7",0603,7,RED_LED,C2286
"F1, F2",FC-102-22,2,6.35mm Fuse holder,C3206833
"FID1, FID2, FID3",Fiducial_1mm_Mask2mm,3,Fiducial,
G1,SBM-20,1,GM_tube_HOLDERS,
"H1, H3",MountingHole_2.5mm_Pad_Via,2,MountingHole_Pad,
"H2, H4",MountingHole_2.5mm,2,MountingHole_Pad,
"J1, J10, J5",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04,C2691448
J3,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,C37208
J8,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C2765186
L2,L_Radial_D10.5mm_P5.00mm_Abacron_AISR-01,1,22mH,C1330068
Q1,SOT-223,1,STN0214,C2969811
Q2,SOT-23_Handsoldering,1,"PMBT2222A,215",C23869
Q3,SOT-23_Handsoldering,1,DMG2302UK-7,C460977
Q4,SOT-363_SC-70-6,1,UMH3N,C62892
"R1, R31, R32",0603,3,47R,C23182
"R10, R11, R12, R13, R33, R34, R9",0603,7,270R,C22966
"R14, R15",0603,2,5.1k,C23186
"R16, R17, R18, R2, R8",0603,5,10k,C25804
"R19, R21, R23, R25",1206,4,1M,C253347
"R20, R22, R24, R26, R28",1206,5,10M,C2075848
"R27, R3, R4",1206,3,510k,C17990
"R29, R6",0603,2,100k,C25803
R30,1206,1,0R,C17888
R5,0603,1,1.5k,C22843
R7,0603,1,27k,C22967
"SW1, SW2",SW_TL3301NF160QG_TR,2,TL3301NF160QG/TR,C255812
U1,ESP32-WROOM-32,1,ESP32-WROOM-32E,C701343
U2,SOT-223-3_TabPin2,1,TC1264-3.3VDBTR,C6186
U3,SSOP-20_3.9x8.7mm_P0.635mm,1,FT231XS,C132160
