Designator,Mid X,Mid Y,Rotation,Layer
C1,87.4,12.45,180.0,top
C10,64.5,18.7,0.0,top
C11,68.5,28.2,0.0,top
C12,72.5,18.7,0.0,top
C13,76.5,28.2,0.0,top
C14,80.5,18.7,0.0,top
C15,103.4,10.05,270.0,top
C16,93.1,13.05,180.0,top
C17,65.6,12.2,90.0,top
C2,59.8,17.0,90.0,top
C23,89.0,20.5,90.0,top
C24,86.5,17.0,90.0,top
C3,83.4,12.45,0.0,top
C4,60.5,28.2,0.0,top
C5,36.0,8.0,270.0,top
C6,33.968,8.0,270.0,top
C7,9.5,11.1125,270.0,top
C8,35.0865,11.9145,180.0,top
C9,35.949,14.608,90.0,top
D1,58.5,23.45,90.0,top
D10,70.47,23.45,270.0,top
D11,74.46,23.45,90.0,top
D12,78.45,23.45,270.0,top
D13,82.44,23.45,90.0,top
D14,97.9,2.4,0.0,top
D2,97.85,3.9,0.0,top
D3,52.0,29.0,0.0,top
D4,41.170625,29.0,0.0,top
D5,30.34125,29.0,0.0,top
D6,19.511875,29.0,0.0,top
D7,8.6825,29.0,0.0,top
D8,62.49,23.45,270.0,top
D9,66.48,23.45,90.0,top
F1,5.7,20.4,0.0,bottom
F2,110.3,20.4,180.0,bottom
FID1,109.358323,29.72005,0.0,top
FID2,106.939842,1.481258,0.0,top
FID3,14.0,29.0,0.0,top
G1,58.076091,20.39281,0.0,bottom
J1,93.25,3.0,180.0,bottom
J10,74.0,2.74,180.0,bottom
J3,50.7,3.0,90.0,bottom
J5,69.0,2.74,180.0,bottom
J8,113.356322,7.0,90.0,top
L2,61.267767,7.232233,45.0,bottom
Q1,51.5,22.0,0.0,top
Q2,5.17,11.6125,270.0,top
Q3,77.85,11.6,90.0,top
Q4,42.4,21.8,180.0,top
R1,45.2,24.4,180.0,top
R10,41.150625,27.493125,180.0,top
R11,30.32125,27.493125,180.0,top
R12,19.491875,27.493125,180.0,top
R13,8.6625,27.493125,180.0,top
R14,104.9,4.0,90.0,top
R15,104.95,9.95,270.0,top
R16,64.8625,3.65,90.0,top
R17,66.8,3.6,90.0,top
R18,77.85,7.6,180.0,top
R19,92.0,20.5,90.0,top
R2,8.6,26.0,0.0,top
R20,92.0,27.5,90.0,top
R21,94.77,20.5,90.0,top
R22,94.6875,27.5,90.0,top
R23,97.54,20.5,90.0,top
R24,97.375,27.5,90.0,top
R25,100.31,20.5,90.0,top
R26,100.0625,27.5,90.0,top
R27,103.08,20.5,90.0,top
R28,102.75,27.5,90.0,top
R29,106.4,29.0,0.0,top
R3,85.91248,25.45,270.0,top
R30,90.25,6.8,270.0,top
R31,104.25,7.7,0.0,top
R32,104.25,6.35,0.0,top
R33,101.1,2.35,180.0,top
R34,101.15,3.9,180.0,top
R4,89.5,25.45,270.0,top
R5,8.75,13.6125,0.0,top
R6,8.0,11.1125,90.0,top
R7,8.67,8.6125,0.0,top
R8,34.044,14.5045,90.0,top
R9,51.98,27.493125,180.0,top
SW1,42.8,11.5,270.0,top
SW2,50.0,11.5,270.0,top
U1,22.0,16.0,180.0,top
U2,85.4,6.2,270.0,top
U3,99.147874,9.589816,0.0,top
